;Unnamed: 0;Unnamed: 0.1;cod_orgao_sup;nm_orgao_sup;cod_orgao;nm_orgao;cod_unidade;nm_unidade;modalidade_compra;id_item_compra;dia;ano;mes;cod_classe_material;nm_classe_material;grupo_material;grupo_servico;cod_material_serv;desc_material_serv;padrao_desc_material;cnpj_fornecedor;nm_fornecedor;unidade_fornecimento;valor_unitario;qtde_ofertada;ind_pandemia
287;456;218993;99900;REPUBLICA FEDERATIVA DO BRASIL;94720;ESTADO DAS ALAGOAS;926703;AGENCIA MUNICIPAL DE REG. DE SERV. DELEGADOS;Pregão;9267030500057202000005;19 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;6,24734E+12;CUNHA DISTRIBUIDORA LTDA;FRASCO 500,00 ML;5,3;20790;1
115;184;10774;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;170131;SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SP;Dispensa de Licitação;1701310600046202000001;27 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,31664E+13;HIGICLEANER COMERCIAL LTDA.;FRASCO 500,00 ML;5,4;812;1
19;36;31614;26000;MINISTERIO DA EDUCACAO;26273;FUNDACAO UNIVERSIDADE DO RIO GRANDE - RS;154042;UNIVERSIDADE FEDERAL DO RIO GRANDE;Dispensa de Licitação;1540420600075202000001;13 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;2,38742E+13;MARCELA MARTINS DOS SANTOS 00657527084;FRASCO 500,00 ML;5,4;1500;1
193;300;80456;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120016;GRUPAMENTO DE APOIO DE SÃO JOSÉ DOS CAMPOS;Dispensa de Licitação;1200160600056202000001;15 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,45607E+12;BRAVERY INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA LTDA;FRASCO 500,00 ML;5,47;800;1
130;206;31037;26000;MINISTERIO DA EDUCACAO;26406;INST.FED.DE EDUC.,CIENC.E TEC. DO ESP.SANTO;158416;IFES - CAMPUS VITóRIA;Dispensa de Licitação;1584160600013202000002;15 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,66166E+13;FLAVIA MILENA OLIVEIRA MARQUES 04865744150;FRASCO 500,00 ML;5,475;200;1
18;35;28331;26000;MINISTERIO DA EDUCACAO;26258;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;153177;UTFPR - CAMPUS SUDOESTE PATO BRANCO;Dispensa de Licitação;1531770600005202000001;18 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;5,34061E+12;SIPROLIMP - SIMIONATO PRODUTOS DE LIMPEZA LTDA;FRASCO 500,00 ML;5,48;400;1
238;366;132487;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160192;BASE DE ADM. E APOIO 5º DIVISÃO DO EXÉRCITO;Dispensa de Licitação;1601920600069202000001;20 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;1,77E+13;ER DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS EIRELI;FRASCO 500,00 ML;5,49;600;1
91;153;200930;99900;REPUBLICA FEDERATIVA DO BRASIL;94620;ESTADO DE PERNAMBUCO;982453;PREF.MUN. DE ITAPETIM/PE;Pregão;9824530500010202000003;10 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,68892E+13;S D DE A FERREIRA & CIA LTDA;FRASCO 500,00 ML;5,5;300;1
233;360;130540;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160176;COMANDO 1.GRUPAMENTO DE ENGENHARIA;Dispensa de Licitação;1601760600015202000002;06 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;386905; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:65% INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,39321E+13;LEAO SERVICO E COMERCIO VAREJISTA DE ELETROELETRONICO LTDA;FRASCO 500,00 ML;5,5;236;1
122;194;13785;26000;MINISTERIO DA EDUCACAO;26232;UNIVERSIDADE FEDERAL DA BAHIA;153038;UNIVERSIDADE FEDERAL DA BAHIA-UF/BA;Dispensa de Licitação;1530380600017202000003;22 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;9,154E+12;INTERCIENCE COMERCIAL LTDA;FRASCO 500,00 ML;5,51;500;1
142;225;58810;26000;MINISTERIO DA EDUCACAO;26450;UFESBA - UNIVERSIDADE FEDERAL DO SUL DA BAHIA;158720;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;Dispensa de Licitação;1587200601702202000001;05 Jun 2020;2020;Jun 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;9,154E+12;INTERCIENCE COMERCIAL LTDA;FRASCO 500,00 ML;5,51;500;1
123;195;14604;26000;MINISTERIO DA EDUCACAO;26233;UNIVERSIDADE FEDERAL DO CEARA;153045;UNIVERSIDADE FEDERAL DO CEARA;Dispensa de Licitação;1530450600026202000012;28 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;7,41476E+12;ILLO QUIMICA LTDA;FRASCO 500,00 ML;5,55;1968;1
117;186;11119;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;170177;SUP.REGIONAL RECEITA FEDERAL 10A.RF/RS;Pregão;1701770500004202000003;29 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;9,27689E+12;ALPHA HIGIENE E LIMPEZA EIRELI;FRASCO 500,00 ML;5,6;500;1
124;197;15979;26000;MINISTERIO DA EDUCACAO;26236;UNIVERSIDADE FEDERAL FLUMINENSE;150182;PRÓ-REITORIA DE ADMINISTRAÇÃO;Dispensa de Licitação;1501820600049202000001;19 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,21194E+13;MARGY COSMETICOS LTDA;FRASCO 500,00 ML;5,64;3000;1
293;465;239990;99900;REPUBLICA FEDERATIVA DO BRASIL;97400;DISTRITO FEDERAL;926637;SERVIÇO SOCIAL DO COMÉRCIO - SESC;Pregão;9266370500017202000001;20 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,45467E+13;DE FRANCE INDUSTRIA E COMERCIO DE COSMETICOS LTDA.;FRASCO 500,00 ML;5,69;1000;1
207;316;91978;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120636;GRUPAMENTO DE APOIO DE LAGOA SANTA;Pregão;1206360500014202000034;05 Jun 2020;2020;Jun 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,45607E+12;BRAVERY INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA LTDA;FRASCO 500,00 ML;5,7;7880;1
84;145;178343;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;791000;COMANDO-EM-CHEFE DA ESQUADRA;Dispensa de Licitação;7910000600033202000001;16 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,06852E+13;REZENDE E SBBAHI MATERIAIS DE LIMPEZA E DESCARTAVEIS LTDA.;FRASCO 500,00 ML;5,7;744;1
196;303;89214;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120632;GRUPAMENTO DE APOIO DE RECIFE;Pregão;1206320500015202000002;11 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,43339E+13;FL COMERCIO ATACADISTA DE ARTIGOS DE USO PESSOAL E DOMESTICO EIRELI;FRASCO 500,00 ML;5,7;17430;1
197;304;89228;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120632;GRUPAMENTO DE APOIO DE RECIFE;Pregão;1206320500015202000016;11 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;8,15866E+12;INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA CAMPINENSE LTDA;FRASCO 500,00 ML;5,7;1743;1
271;415;168596;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160443;63 BATALHAO DE INFANTARIA;Dispensa de Licitação;1604430600033202000001;25 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,56778E+13;MULTI SOLUCOES INTEGRADAS LTDA;FRASCO 500,00 ML;5,7487;800;1
0;0;1094;11111;TRIBUNAL DE JUSTIçA DO ESTADO DE MATO GROSSO;11111;TRIBUNAL DE JUSTIçA DO ESTADO DE MATO GROSSO;925007;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;Pregão;9250070500005202000001;27 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;8,11749E+12;RICARDO VICENTE SOHN;FRASCO 500,00 ML;5,77;2000;1
103;168;6726;20113;MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO;25205;FUND.INST.BRASILEIRO DE GEOG.E ESTATISTICA;114623;UNIDADE ESTADUAL DO IBGE NO PARANÁ;Pregão;1146230500005202000002;03 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,18017E+13;JHL PRODUTOS DE HIGIENE E LIMPEZA LTDA;FRASCO 500,00 ML;5,89;930;1
188;284;76775;38701;CONSELHO REGIONAL DE FARMÁCIA DE PE;38701;CONSELHO REGIONAL DE FARMÁCIA DE PE;389452;CONSELHO REG. DE FARMACIA DE PERNAMBUCO;Pregão;3894520500001202000001;13 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;3,39359E+13;CORREA COMERCIO DE PRODUTOS PARA ESCRITORIO EIRELI;FRASCO 500,00 ML;5,94;4000;1
100;165;3451;14000;JUSTICA ELEITORAL;14000;JUSTICA ELEITORAL;70022;TRE-TRIBUNAL REGIONAL ELEITORAL/MT;Pregão;0700220500015202000015;02 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;441477; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:ACENDEDOR, CONCENTRACAO:80deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,61481E+13;MOSAICO DISTRIBUIDORA ATACADO E ELETRONICOS EIRELI;FRASCO 500,00 ML;5,98;12000;1
221;338;109946;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160081;23 ESQUADRAO DE CAVALARIA DE SELVA;Dispensa de Licitação;1600810600020202000003;28 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,58977E+13;BELCLIPS DISTRIBUIDORA LTDA;FRASCO 500,00 ML;5,9822;250;1
246;376;141178;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160250;1 BATALHAO DE COMUNICACOES DIVISIONARIO/RS;Pregão;1602500500003202000021;15 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;5,02494E+12;MARQUI INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA;FRASCO 500,00 ML;5,99;5000;1
248;382;143762;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160292;COLEGIO MILITAR DO RIO DE JANEIRO/RJ;Dispensa de Licitação;1602920600039202000001;01 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,66537E+12;V3TEX COMERCIO DE PRODUTOS TEXTEIS LTDA;FRASCO 500,00 ML;5,99;200;1
234;361;130541;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160176;COMANDO 1.GRUPAMENTO DE ENGENHARIA;Dispensa de Licitação;1601760600015202000003;06 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,39321E+13;LEAO SERVICO E COMERCIO VAREJISTA DE ELETROELETRONICO LTDA;FRASCO 500,00 ML;6;235;1
210;319;96901;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160002;4. BATALHAO DE INFANTARIA DE SELVA/MES/AC;Pregão;1600020500028202000003;29 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,45336E+13;SILP CATANDUVA COMERCIO DE EMBALAGENS LTDA;FRASCO 500,00 ML;6;4000;1
231;353;126531;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160160;51 BATALHAO DE INFANTARIA DE SELVA;Pregão;1601600500014201900001;27 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,45336E+13;SILP CATANDUVA COMERCIO DE EMBALAGENS LTDA;FRASCO 500,00 ML;6;5000;1
36;59;64406;30000;MINISTERIO DA JUSTICA;30802;DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL/MJ;200119;SUPERINTENDENCIA REG. POL. RODV. FEDERAL-RS;Dispensa de Licitação;2001190600006202000002;18 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;88664000154;D Z L DISTRIBUIDORA ZANATA LTDA;FRASCO 500,00 ML;6;1550;1
148;234;62303;30000;MINISTERIO DA JUSTICA;30202;FUNDACAO NACIONAL DO INDIO;194074;COORDENAÇÃO REGIONAL MARANHÃO;Pregão;1940740500004202000058;13 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,44681E+12;IMPERATRIZ POLPAS DE FRUTAS EIRELI;FRASCO 500,00 ML;6,15;10000;1
172;264;68912;36000;MINISTERIO DA SAUDE;36000;MINISTERIO DA SAUDE;257040;DISTRITO SANIT.ESP.INDÍGENA - XAVANTE;Dispensa de Licitação;2570400600005202000001;02 Jun 2020;2020;Jun 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,20263E+12;NOBEL DO BRASIL LTDA;FRASCO 500,00 ML;6,2;3000;1
96;161;221498;99900;REPUBLICA FEDERATIVA DO BRASIL;97320;ESTADO DE GOIAS;989395;PREFEITURA MUNICIPAL DE INHUMAS;Pregão;9893950500002202000001;23 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,35595E+13;PAPELARIA COLEGIAL LTDA;FRASCO 500,00 ML;6,3;1806;1
20;37;32937;26000;MINISTERIO DA EDUCACAO;26280;FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;156403;SECRETARIA GERAL DE INFORMÁTICA;Dispensa de Licitação;1564030600002202000001;05 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,09855E+13;ALINE CIAVARELLI DE SOUZA - ME;FRASCO 500,00 ML;6,3;348;1
290;459;222501;99900;REPUBLICA FEDERATIVA DO BRASIL;95120;ESTADO DE MINAS GERAIS;984673;PREF.MUN.DE ITATIAIUCU;Pregão;9846730500162201900002;22 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;441477; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:ACENDEDOR, CONCENTRACAO:80deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;6,51868E+13;DISTRIBUIDORA IRMAOS SANTANA LTDA;FRASCO 500,00 ML;6,37;291;1
9;19;11086;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;170177;SUP.REGIONAL RECEITA FEDERAL 10A.RF/RS;Dispensa de Licitação;1701770600013202000001;06 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;1,64851E+12;PKB PRODUTOS QUIMICOS LTDA;FRASCO 500,00 ML;6,38;626;1
30;50;62787;30000;MINISTERIO DA JUSTICA;30108;DEPARTAMENTO DE POLICIA FEDERAL;200386;SUPERINTENDENCIA REG.DEP.POLICIA FEDERAL- PA;Dispensa de Licitação;2003860600002202000005;16 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,33953E+13;ELIANDRO JOSE MACHADO COMERCIO E SERVICOS;FRASCO 500,00 ML;6,39;650;1
274;425;173974;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160476;22.DEPOSITO DE SUPRIMENTO;Dispensa de Licitação;1604760600066202000001;13 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,73431E+13;DRI ASSESSORIA EVENTOS E SERVICOS EIRELI;FRASCO 500,00 ML;6,45;200;1
272;420;171715;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160462;COMANDO 12 BRIGADA INFANTARIA L(AMV);Pregão;1604620500004202000022;08 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,363E+13;PROXMED PRODUTOS MEDICOS, HOSPITALARES E ODONTOLOGICOS LTDA;FRASCO 500,00 ML;6,5;800;1
