"";"cod_orgao_sup";"nm_orgao_sup";"cod_orgao";"nm_orgao";"cod_unidade";"nm_unidade";"modalidade_compra";"id_item_compra";"dia";"ano";"mes";"cod_classe_material";"nm_classe_material";"grupo_material";"grupo_servico";"cod_material_serv";"desc_material_serv";"padrao_desc_material";"cnpj_fornecedor";"nm_fornecedor";"unidade_fornecimento";"valor_unitario";"qtde_ofertada";"ind_pandemia"
"178";99900;"REPUBLICA FEDERATIVA DO BRASIL";95220;"ESTADO DO ESPIRITO SANTO";926622;"DEFENSORIA PUBLICA DO ESTADO DO ESP.SANTO ES";"Pregão";9,2662205000012e+21;"20 Fev 2020";2020;"Fev 2020";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";3,29527e+13;"BERIZA COMERCIO DE LIMPEZA LTDA";"FRASCO 500,00 ML";4,07;3400;0
"179";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160339;"1 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"Pregão";1,6033905000062e+21;"06 Mai 2019";2019;"Mai 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";380018;" ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL";"ALCOOL ETILICO";4,00474e+12;"NORLUX LTDA";"FRASCO 500,00 ML";4,07;1000;0
"180";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160380;"COMANDO 8 BRIGADA DE INFANTARIA MOTORIZADA/RS";"Pregão";1,6038005000082e+21;"29 Out 2019";2019;"Out 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";386905;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:65% INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,03778e+13;"COMERCIAL 1205 LTDA";"FRASCO 500,00 ML";4,08;3030;0
"181";99900;"REPUBLICA FEDERATIVA DO BRASIL";94320;"ESTADO DO CEARA";943001;"GOVERNO DO ESTADO DO CEARA";"Pregão";9,4300105006272e+21;"13 Dez 2018";2018;"Dez 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,67564e+13;"LIMPLAST COMERCIO DE EMBALAGENS, DESCARTAVEIS E PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";4,08;24977;0
"182";26000;"MINISTERIO DA EDUCACAO";26240;"UNIVERSIDADE FEDERAL DA PARAIBA";153074;"CENTRO DE CIêNCIA HUMANAS, SOCIAIS E AGRáRIAS";"Pregão";1,5307405000132e+21;"14 Nov 2018";2018;"Nov 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,88634e+13;"J. H. DA SILVA EQUIPAMENTOS";"FRASCO 500,00 ML";4,08;3000;0
"183";99900;"REPUBLICA FEDERATIVA DO BRASIL";93720;"ESTADO DE TOCANTINS";925956;"SECRETARIA DE FAZENDA DO TOCANTINS";"Pregão";9,2595605000402e+21;"23 Mai 2018";2018;"Mai 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";420799;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:LIMPEZA, CONCENTRACAO:75% INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";3,81833e+12;"SARAIVA DISTRIBUIDORA EIRELI";"FRASCO 500,00 ML";4,09;1000;0
"184";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160040;"PARQUE REGIONAL DE MANUTENCAO/6";"Pregão";1,6004005000132e+21;"30 Abr 2019";2019;"Abr 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,43471e+13;"BRASCOM DO NORDESTE INDUSTRIA E COMERCIO LTDA";"FRASCO 500,00 ML";4,1;1000;0
"185";99900;"REPUBLICA FEDERATIVA DO BRASIL";94720;"ESTADO DAS ALAGOAS";926703;"AGENCIA MUNICIPAL DE REG. DE SERV. DELEGADOS";"Pregão";9,2670305000772e+21;"11 Out 2018";2018;"Out 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";3,04154e+13;"VSB ACESSORIOS EMPRESARIAIS EIRELI";"FRASCO 500,00 ML";4,1;4997;0
"186";38000;"MINISTERIO DO TRABALHO E EMPREGO";38901;"FUNDO DE AMPARO AO TRABALHADOR";380936;"DELEG.REG. DO TRAB/ESPIRITO SANTO";"Pregão";3,8093605000082e+21;"09 Out 2019";2019;"Out 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,21029e+13;"D TUDO ARMARINHO EIRELI";"FRASCO 500,00 ML";4,11;250;0
"187";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160078;"COLEGIO MILITAR DE CAMPO GRANDE";"Pregão";1,6007805000032e+21;"15 Jul 2019";2019;"Jul 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";311410;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,84936e+13;"C. L. R. COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA, SANEANTE, GENERO ALIMENTICIO";"FRASCO 500,00 ML";4,12;750;0
"188";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";740000;"DIRETORIA-GERAL DO MATERIAL DA MARINHA";"Pregão";7,4000005000012e+21;"20 Ago 2019";2019;"Ago 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";420799;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:LIMPEZA, CONCENTRACAO:75% INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,85931e+13;"SUPRY OFFICE DISTRIBUIDORA DE MATERIAIS E SERVICOS LTDA";"FRASCO 500,00 ML";4,12;768;0
"189";36000;"MINISTERIO DA SAUDE";36000;"MINISTERIO DA SAUDE";257050;"DIST. SANIT. ESP. INDIGENA";"Pregão";2,5705005000132e+21;"08 Nov 2019";2019;"Nov 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,25069e+13;"R. DE FREITAS MIRANDA";"FRASCO 500,00 ML";4,14;280;0
"190";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160177;"71 BATALHAO DE INFANTARIA MOTORIZADO";"Pregão";1,6017705000072e+21;"22 Mar 2019";2019;"Mar 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";9,61796e+12;"DIFERENCIAL COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EIRELI";"FRASCO 500,00 ML";4,14;2000;0
"191";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160132;"MEX-9. BATALHAO DE ENGENHARIA DE COMBATE/MS";"Pregão";1,6013205000222e+21;"29 Ago 2018";2018;"Ago 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244273;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,45955e+13;"MS SAUDE DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA";"FRASCO 500,00 ML";4,15;2500;0
"192";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160402;"6 BATALHAO DE ENGENHARIA DE COMBATE";"Pregão";1,6040205000092e+21;"12 Jul 2018";2018;"Jul 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";4,83518e+12;"AMANDA COMERCIO DE PAPEIS E EMBALAGENS EIRELI";"FRASCO 500,00 ML";4,15;500;0
"193";99900;"REPUBLICA FEDERATIVA DO BRASIL";94720;"ESTADO DAS ALAGOAS";926703;"AGENCIA MUNICIPAL DE REG. DE SERV. DELEGADOS";"Pregão";9,2670305000802e+21;"29 Ago 2019";2019;"Ago 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244273;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,66674e+13;"V. T. A. MACHADO DE ARRUDA EIRELI";"FRASCO 500,00 ML";4,15;6391;0
"194";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160026;"COMANDO DA 22ª BRIGADA DE INFANTARIA DE SELVA";"Pregão";1,6002605000392e+21;"20 Mar 2019";2019;"Mar 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,70667e+12;"MEDPLUS COMERCIO DE ARTIGOS MEDICOS LTDA";"FRASCO 500,00 ML";4,158;600;0
"195";22000;"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";22000;"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";130056;"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"Pregão";1,3005605000022e+21;"08 Ago 2018";2018;"Ago 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,54079e+13;"ALEXANDRE H M CHAMONE COMERCIO";"FRASCO 500,00 ML";4,18;310;0
"196";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160121;"HOSPITAL GERAL DE JUIZ DE FORA";"Pregão";1,6012105000162e+21;"16 Jan 2018";2018;"Jan 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,07474e+13;"EMEDCAL COMERCIO DE PRODUTOS HOSPITALARES LTDA";"FRASCO 500,00 ML";4,19;434;0
"197";26000;"MINISTERIO DA EDUCACAO";26234;"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";153048;"RESTAURANTE CENTRAL DA UFES";"Pregão";1,5304805000072e+21;"07 Jun 2018";2018;"Jun 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,56313e+13;"LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";4,19;350;0
"198";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";710300;"AMAZONIA AZUL TECNOL. DE DEFESA S.A";"Pregão";7,1030005000072e+21;"14 Mar 2018";2018;"Mar 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,83981e+13;"PARILIMP COMERCIO DE PRODUTOS E SERVICOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";4,2;200;0
"199";26000;"MINISTERIO DA EDUCACAO";26420;"INST.FED.DE EDUC.,CIENC. E TEC.FARROUPILHA";158505;"INST FED.DE EDUC. CIENC.E.TEC.FARROUPILHA";"Pregão";1,5850505000022e+21;"03 Set 2018";2018;"Set 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,38664e+13;"HOSPBOX DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA";"FRASCO 500,00 ML";4,21;3447;0
"200";99900;"REPUBLICA FEDERATIVA DO BRASIL";93720;"ESTADO DE TOCANTINS";925957;"SECRETARIA DA SEG.PÚBLICA DO ESTADO DO TO";"Pregão";9,2595705001372e+21;"12 Jan 2018";2018;"Jan 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,71729e+13;"PREMIUM COMERCIAL EIRELI";"FRASCO 500,00 ML";4,23;1000;0
"201";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160149;"MEX-COMANDO 4.BRIGADA CAVALARIA MECANIZADA/MS";"Pregão";1,6014905000062e+21;"21 Nov 2018";2018;"Nov 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,09189e+13;"UNIVERSAL PRODUTOS HOSPITALARES LTDA";"FRASCO 500,00 ML";4,25;330;0
"202";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160234;"5 REGIMENTO DE CARROS DE COMBATE";"Pregão";1,6023405000062e+21;"02 Set 2019";2019;"Set 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,14125e+13;"COMERCIAL MAB ALIMENTOS EIRELI";"FRASCO 500,00 ML";4,25;700;0
"203";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160525;"ESCOLA DE FORMAÇÃO COMPLEMENTAR DO EXERCITO";"Pregão";1,6052505000102e+21;"08 Abr 2019";2019;"Abr 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,24798e+13;"JCV COMERCIO DE EQUIPAMENTOS EIRELI";"FRASCO 500,00 ML";4,25;5480;0
"204";99900;"REPUBLICA FEDERATIVA DO BRASIL";95420;"ESTADO DE SAO PAULO";926364;"DIRETORIA REGIONAL DE EDUCACAO IPIRANGA";"Pregão";9,2636405000172e+21;"20 Dez 2019";2019;"Dez 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";8,21177e+12;"P.H.O. PRODUTOS HOSPITALARES E ODONTOLOGICOS EIRELI";"FRASCO 500,00 ML";4,26;6526;0
"205";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";782802;"CENTRO DE INTENDENCIA DA MARINHA EM SALVADOR";"Pregão";7,8280205000052e+21;"20 Jul 2018";2018;"Jul 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,25058e+13;"CASA ATLANTICO EIRELI";"FRASCO 500,00 ML";4,26;2800;0
"206";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160466;"COMANDO 11 BRIGADA INFANTARIA  BLINDADA";"Pregão";1,6046605000042e+21;"01 Nov 2019";2019;"Nov 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";311410;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,36055e+13;"ESSENZA INDUSTRIA QUIMICA EIRELI";"FRASCO 500,00 ML";4,26;11610;0
"207";12000;"JUSTICA FEDERAL";12000;"JUSTICA FEDERAL";90007;"JUSTICA FEDERAL DE 1A. INSTANCIA - RN";"Pregão";9,00070500016202e+20;"11 Out 2019";2019;"Out 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,8032e+13;"RCP COMERCIO DE ELETRODOMESTICOS EIRELI";"FRASCO 500,00 ML";4,27;312;0
"208";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160342;"BASE ADMINISTRATIVA DA GUARNIÇÃO DE NATAL";"Pregão";1,6034205000012e+21;"27 Jun 2019";2019;"Jun 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";380018;" ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL";"ALCOOL ETILICO";1,76029e+13;"DELTA INDUSTRIA E COM. LTDA";"FRASCO 500,00 ML";4,27;2350;0
"209";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160132;"MEX-9. BATALHAO DE ENGENHARIA DE COMBATE/MS";"Pregão";1,6013205000112e+21;"21 Nov 2019";2019;"Nov 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244273;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,87296e+13;"POTENCIAL COMERCIO E SERVICOS - EIRELI";"FRASCO 500,00 ML";4,27;500;0
"210";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160525;"ESCOLA DE FORMAÇÃO COMPLEMENTAR DO EXERCITO";"Pregão";1,6052505000092e+21;"26 Jan 2018";2018;"Jan 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";7,57193e+12;"EQUILIBRIO COMERCIO DE DESCARTAVEIS EIRELI";"FRASCO 500,00 ML";4,28;300;0
"211";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160173;"MEX/31.BATALHAO DE INFANTARIA MOTORIZADO/PB";"Pregão";1,6017305000012e+21;"19 Jul 2018";2018;"Jul 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,07551e+13;"H. C. CORDEIRO";"FRASCO 500,00 ML";4,28;360;0
"212";99900;"REPUBLICA FEDERATIVA DO BRASIL";94520;"ESTADO DA PARAIBA";982051;"PREF.MUN.DE JOAO PESSOA";"Pregão";9,8205105040202e+21;"04 Set 2019";2019;"Set 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,76029e+13;"DELTA INDUSTRIA E COM. LTDA";"FRASCO 500,00 ML";4,28;6157;0
"213";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160228;"26 GRUPO DE ARTILHARIA DE CAMPANHA";"Pregão";1,6022805000102e+21;"06 Jul 2018";2018;"Jul 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,33913e+13;"VANBRAS SERVICOS & TERRAPLENAGEM EIRELI";"FRASCO 500,00 ML";4,29;300;0
"214";52000;"MINISTERIO DEFESA";52221;"INDUSTRIA DE MATERIAL BELICO DO BRASIL";168007;"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FMCE";"Pregão";1,6800705000092e+21;"16 Mai 2019";2019;"Mai 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";9,10227e+12;"AJURDY DISTRIBUIDORA DE PRODUTOS LTDA";"FRASCO 500,00 ML";4,29;1000;0
"215";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160153;"MEX-2 COMPANHIA DE FRONTEIRA/MS";"Pregão";1,6015305000022e+21;"17 Mai 2019";2019;"Mai 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";395734;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,98539e+13;"BIAZUS CONVENIENCIA EIRELI";"FRASCO 500,00 ML";4,29;1000;0
